,300104.SZ.Open,300104.SZ.High,300104.SZ.Low,300104.SZ.Close,300104.SZ.Volume,300104.SZ.Adjusted
1,49.44008,49.97998,42.71006,42.95992,267359100,2.30432
2,45.00995,45.99994,43.52008,44.44996,157024400,2.38424
3,41.99998,43.57005,41.52001,43.02998,106931000,2.30807
4,42.81,43.97996,42.58007,43.54,70972800,2.33543
5,43.59993,43.76994,41.74995,41.95001,74561700,2.25015
6,41.95001,42.85997,41.69998,42.02007,49960500,2.2539
7,41.68006,42.43994,41.49992,41.99998,42697300,2.25283
8,42.09992,42.38997,39.99992,40.11995,64125400,2.15198
9,40.24995,40.24995,38.95,39.80999,45955500,2.13536
10,39.41005,40.28,38.99997,39.00993,33155000,2.09244
11,39.34994,39.64994,38.65996,39.50003,30087100,2.11873
12,39.20003,39.79007,39.04994,39.69992,23836600,2.12945
13,39.85,40.45,39.81995,40.15,31393300,2.1536
14,40.01005,40.19002,39.59997,39.89998,26380100,2.14019
15,39.96008,41.69002,39.96008,40.91005,47184900,2.19436
16,40.86008,41.69002,40.44005,41.25006,42312000,2.2126
17,41.12007,41.86999,40.71995,41.19992,38433300,2.20991
18,41.30004,41.48996,38.99997,39.36008,40452900,2.11123
19,39.42997,39.76998,39.11005,39.49007,15033500,2.1182
20,38.99997,39.38996,38.80009,39.25,21122000,2.10532
21,39.15006,39.75006,38.98005,39.15006,23307400,2.09996
22,38.90003,39.29997,38.18995,38.47999,25017900,2.06402
23,38.60003,39.40009,38.42006,39.40009,23810300,2.11337
24,39.75006,39.88006,38.69997,38.90003,18199400,2.08655
25,38.50009,38.87993,36.07998,36.29996,33829100,1.94708
26,36.24999,36.57008,34.79995,35.43001,26352500,1.90042
27,35.50007,36.15005,35.00997,35.24009,14638800,1.89023
28,35.39996,35.57992,34.57998,34.61003,11114100,1.85644
29,34.90007,34.90007,33.40007,33.47992,15996600,1.79582
30,33.46996,33.89995,33.45004,33.89995,10988900,1.81835
31,34.60007,37.28994,34.60007,37.28994,52186200,2.00019
32,36.63997,37.52006,35.70992,37.40002,43437500,2.00609
33,37.01004,37.65005,36.80998,37.18004,19599900,1.99429
34,37.57999,38.20009,37.18004,37.58995,24898200,2.01628
35,37.57999,37.57999,36.24003,36.42996,23069500,1.95406
36,36.43992,37.24994,36.29996,36.37998,13674200,1.95138
37,36.20002,36.20002,35.51999,36.03001,19094400,1.93261
38,36.81994,36.84999,35.61994,35.67008,18593700,1.9133
39,35.55005,35.86996,34.45994,35.09995,17354900,1.88272
40,35.34999,35.34999,34.10001,35.26,13821600,1.8913
41,35.47998,38.20009,35.29005,37.13008,32876100,1.99161
42,36.50002,37.79997,36.32006,37.14999,26062600,1.99268
43,37.32996,38.20009,36.59996,37.69006,22511400,2.02165
44,37.60008,38.59007,37.49997,38.09001,24572200,2.0431
45,38.09997,39.97004,38.09001,39.68996,37053000,2.12892
46,39.80003,39.89998,38.77003,39.21995,19804000,2.10371
47,39.34994,39.84004,38.20009,38.26001,17935100,2.05222
48,38.09997,39.20003,38.00003,38.86002,19566000,2.0844
49,38.09997,41.00004,38.00003,40.09008,38239900,2.15038
50,40.58,40.88,38.99997,40.26008,49275600,2.1595
51,40.33993,40.33993,38.65,38.93008,29309200,2.08816
52,38.66992,38.66992,37.70003,37.75995,22472800,2.0254
53,37.70003,38.82996,37.67993,38.52,14064500,2.06617
54,38.60999,38.87993,38.00003,38.38005,15484000,2.05866
55,38.60003,39.89002,38.55006,39.59002,19537800,2.12356
56,39.62007,40.19998,39.20003,39.56992,18358700,2.12248
57,39.58005,41.96993,39.29997,41.49992,38964000,2.226
58,41.16008,44.09999,41.09998,42.29998,60980700,2.26892
59,41.99998,42.89999,39.21995,39.59997,63548500,2.12409
60,39.58005,41.99998,39.51995,41.90004,38886700,2.24747
61,42.20004,42.77995,39.80003,40.54995,47570100,2.17505
62,39.93999,42.50004,39.80003,40.73009,44660300,2.18471
63,41.39002,43.99009,40.18006,43.63994,50754300,2.34079
64,43.59993,45.50005,43.15001,45.09993,61821700,2.4191
65,44.55008,45.78992,43.62998,44.35002,57279700,2.37888
66,43.99009,47.48998,43.65008,47.39004,63935000,2.54194
67,47.00006,49.68993,46.70006,49.49005,59334700,2.65458
68,49.59995,50.01003,47.19994,48.12004,35776600,2.5811
69,47.78998,52.93002,47.78998,52.93002,55899600,2.8391
70,52.57008,54.86998,52.30992,53.03992,52042300,2.845
71,53.10002,53.10002,48.16005,50.06996,57014100,2.68569
72,49.92005,53.99007,49.80997,51.77002,30560900,2.77688
73,51.99996,52.87009,50.00007,51.17998,18395000,2.74523
74,51.29006,51.38004,48,49.70007,43231600,2.66585
75,48.03006,50.28994,46.71002,50.02995,34507700,2.68354
